client_time,level,message
1777151196,INFO,"Starting query execution for Windows.System.Pslist.
"
1777151197,DEFAULT,"token: OpenProcess for  4 (System) : Access is denied.
"
1777151197,DEFAULT,"token: OpenProcess for  112 (Registry) : Access is denied.
"
1777151197,DEFAULT,"token: OpenProcess for  464 (smss.exe) : Access is denied.
"
1777151197,DEFAULT,"token: OpenProcess for  620 (csrss.exe) : Access is denied.
"
1777151197,DEFAULT,"token: OpenProcess for  692 (wininit.exe) : Access is denied.
"
1777151197,DEFAULT,"token: OpenProcess for  700 (csrss.exe) : Access is denied.
"
1777151197,DEFAULT,"token: OpenProcess for  836 (services.exe) : Access is denied.
"
1777151197,DEFAULT,"token: OpenProcess for  856 (lsass.exe) : Access is denied.
"
1777151198,DEFAULT,"token: OpenProcess for  2172 (Memory Compression) : Access is denied.
"
1777151199,DEFAULT,"token: OpenProcess for  3108 (MpDefenderCoreService.exe) : Access is denied.
"
1777151200,DEFAULT,"token: OpenProcess for  3176 (Sysmon.exe) : Access is denied.
"
1777151200,DEFAULT,"token: OpenProcess for  3192 (MsMpEng.exe) : Access is denied.
"
1777151202,DEFAULT,"Hash of C:\Program Files\Elastic\Agent\data\elastic-agent-9.3.3+build202604082258-d70142\components\elastic-otel-collector.exe aborted due to exceeding size
"
1777151215,DEFAULT,"token: OpenProcess for  5060 (SecurityHealthService.exe) : Access is denied.
"
1777151216,DEFAULT,"token: OpenProcess for  1304 (svchost.exe) : Access is denied.
"
1777151217,DEFAULT,"token: OpenProcess for  5160 (NisSrv.exe) : Access is denied.
"
1777151219,DEFAULT,Windows.System.Pslist: Time 22: Windows.System.Pslist: Sending response part 0 517 kB (175 rows).
1777151219,INFO,"Collection Windows.System.Pslist is done after 25.5285678s
"
1777151219,DEBUG,"Query Stats: {""RowsScanned"":702,""PluginsCalled"":5,""FunctionsCalled"":881,""ProtocolSearch"":6,""ScopeCopy"":1587}
"
